text,x_distance,y_distance,digit_ratio,special_chars,pattern_score,character_count,horizontal_score,vertical_score,alignment_score,normalized_distance,is_integer,is_valid
+1-443-470-7200 or 855-291-4527,0.1410997211933136,0.5490461587905884,0.6774193548387096,6,0.2,31,0.0,1.0,0,0.2569901673002379,1,0
818-681-8151,0.022854000329971313,0.5927450656890869,0.8333333333333334,2,0.6,12,0.10173335726537171,1.0,0,0.038556140062107,1,0
(818) 633-4000,0.4417048878967762,0.5988269448280334,0.7142857142857143,3,0.7,14,0.0,1.0,0,0.7376156903025316,1,1
+1-443-470-7200 or 855-291-4527,0.14201942086219788,0.6151828169822693,0.6774193548387096,6,0.2,31,0.0,1.0,0,0.2308568869039205,1,0
800-543-8917 303-449-3711,0.0784502625465393,0.8004456758499146,0.8,4,0.30000000000000004,25,0.0,0.0,0,0.09800810586569154,1,0
703470-7547,0.006398618221282959,0.032705843448638916,0.9090909090909091,1,0.7,11,0.5273652892220303,1.0,1,0.19563545566025067,1,1
(703) 220-7430,0.47279950603842735,0.04446478188037872,0.7142857142857143,3,0.8,14,0.0,1.0,0,10.632884119981215,1,1
703-470-7547,0.00824129581451416,0.04389148950576782,0.8333333333333334,2,0.7,12,0.4386166063888547,1.0,1,0.1877609565397558,1,1
+1-443-470-7200 or 855-291-4527,0.11051297187805176,0.054971933364868164,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,2.0103160794522537,1,0
703-470-7547,0.008475780487060547,0.09297612309455872,0.8333333333333334,2,0.7,12,0.42845136468438433,1.0,1,0.09115984884196286,1,1
(703) 501-3961,0.472743958234787,0.09928730130195618,0.7142857142857143,3,0.8,14,0.0,1.0,0,4.761325876621408,1,1
+1-443-470-7200 or 855-291-4527,0.11014938354492188,0.10990941524505615,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,1.002174209781056,1,0
3013250480,0.004214227199554443,0.1478833258152008,1.0,0,0.7,10,0.6561126908523695,1.0,1,0.028496780685335277,1,1
(301) 520-5930,0.47275717929005623,0.15418758988380432,0.7142857142857143,3,0.8,14,0.0,1.0,0,3.0660970415925295,1,1
+1-443-470-7200 or 855-291-4527,0.11092758178710938,0.16466698050498962,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,0.6736439072546234,1,0
3013250480,0.0042209625244140625,0.20276513695716858,1.0,0,0.7,10,0.6556709264286741,1.0,1,0.02081690063122167,1,1
(703) 342-7977,0.47279762476682663,0.2090454399585724,0.7142857142857143,3,0.8,14,0.0,1.0,0,2.2616870436086973,1,1
+1-443-470-7200 or 855-291-4527,0.11052060127258301,0.21949303150177002,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,0.5035244034491743,1,0
239-463-7009,0.008561372756958008,0.2575986087322235,0.8333333333333334,2,0.7,12,0.4247998017707826,1.0,1,0.03323519317087788,1,1
(513) 484-5784,0.4727773554623127,0.26387467980384827,0.7142857142857143,3,0.8,14,0.0,1.0,0,1.7916670297685309,1,1
+1-443-470-7200 or 855-291-4527,0.11094987392425537,0.27425116300582886,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,0.40455423471681895,1,0
2394637009,0.004328370094299316,0.312406986951828,1.0,0,0.7,10,0.6486662096645323,1.0,1,0.01385486375214451,1,1
+1-443-470-7200 or 855-291-4527,0.10993510484695435,0.32922330498695374,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,0.33392159443182906,1,0
1-910-269-8559,0.013435900211334229,0.367086797952652,0.7857142857142857,3,0.4,14,0.26090732244545795,1.0,1,0.03660132613034234,1,0
(757) 705-2672,0.47284120321273804,0.3736904561519623,0.7142857142857143,3,0.8,14,0.0,1.0,0,1.2653251644598917,1,1
+1-443-470-7200 or 855-291-4527,0.11073553562164307,0.3841470181941986,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,0.2882626757836425,1,0
9102698559,0.004134058952331543,0.42188671231269836,1.0,0,0.6,10,0.6613937717586585,1.0,1,0.009798955579126765,1,0
(757) 705-1505,0.47281646355986595,0.4285508692264557,0.7142857142857143,3,0.7,14,0.0,1.0,0,1.1032887673861014,1,1
+1-443-470-7200 or 855-291-4527,0.1104167103767395,0.4391261041164398,0.6774193548387096,6,0.2,31,0.0,1.0,0,0.25144590106526693,1,0
818-996-5188,0.008548736572265625,0.4713386595249176,0.8333333333333334,2,0.6,12,0.42533692593456546,1.0,1,0.018137104314290557,1,0
(818) 262-1318,0.47279051318764687,0.48341724276542664,0.7142857142857143,3,0.7,14,0.0,1.0,0,0.9780154561048771,1,1
818-917-1091,0.008049190044403076,0.48264405131340027,0.8333333333333334,2,0.6,12,0.4471241401627506,1.0,1,0.016677245571044764,1,0
+1-443-470-7200 or 855-291-4527,0.11055433750152588,0.49377813935279846,0.6774193548387096,6,0.2,31,0.0,1.0,0,0.22389430555213535,1,0
(818) 943-2713,0.4727124869823456,0.5323860943317413,0.7142857142857143,3,0.7,14,0.0,1.0,0,0.8879112435580354,1,1
(818)943-2712,0.010045111179351807,0.5262214243412018,0.7692307692307693,3,0.6,13,0.3662236312113959,1.0,1,0.0190890975273957,1,0
+1-443-470-7200 or 855-291-4527,0.1099434494972229,0.5373245775699615,0.6774193548387096,6,0.2,31,0.0,1.0,0,0.204612350661658,1,0
818-681-8151,0.008302271366119385,0.5810234844684601,0.8333333333333334,2,0.6,12,0.4359502548112689,1.0,1,0.014289021526716846,1,0
(818) 633-4000,0.4728611595928669,0.5871053636074066,0.7142857142857143,3,0.7,14,0.0,1.0,0,0.8054096989980258,1,1
+1-443-470-7200 or 855-291-4527,0.11086314916610718,0.6034612357616425,0.6774193548387096,6,0.2,31,0.0,1.0,0,0.1837118258546609,1,0
800-543-8917 303-449-3711,0.10960653424263,0.7887240946292877,0.8,4,0.30000000000000004,25,0.0,0.0,0,0.1389667134835448,1,0
703470-7547,0.17326605319976807,0.03288097679615021,0.9090909090909091,1,0.6000000000000001,11,0.0,1.0,0,5.269332019602115,1,0
(703) 220-7430,0.6396669410169125,0.044639915227890015,0.7142857142857143,3,0.8,14,0.0,1.0,0,14.329162781529888,1,1
703-470-7547,0.17510873079299927,0.044066622853279114,0.8333333333333334,2,0.6000000000000001,12,0.0,1.0,0,3.9736368665951143,1,0
+1-443-470-7200 or 855-291-4527,0.05635446310043335,0.055147066712379456,0.6774193548387096,6,0.4,31,0.0,1.0,0,1.021875588030053,1,0
703-470-7547,0.17534321546554565,0.09315125644207001,0.8333333333333334,2,0.6000000000000001,12,0.0,1.0,0,1.8823292334801247,1,0
(703) 501-3961,0.6396113932132721,0.09946243464946747,0.7142857142857143,3,0.8,14,0.0,1.0,0,6.4306184023044555,1,1
+1-443-470-7200 or 855-291-4527,0.05671805143356323,0.11008454859256744,0.6774193548387096,6,0.4,31,0.0,1.0,0,0.5152179569316568,1,0
3013250480,0.17108166217803955,0.1480584591627121,1.0,0,0.6000000000000001,10,0.0,1.0,0,1.155492956313091,1,0
(301) 520-5930,0.6396246142685413,0.1543627232313156,0.7142857142857143,3,0.8,14,0.0,1.0,0,4.143620022108804,1,1
+1-443-470-7200 or 855-291-4527,0.05593985319137573,0.16484211385250092,0.6774193548387096,6,0.4,31,0.0,1.0,0,0.33935207776668097,1,0
3013250480,0.17108839750289917,0.20294027030467987,1.0,0,0.6000000000000001,10,0.0,1.0,0,0.843043887751568,1,0
(703) 342-7977,0.6396650597453117,0.20922057330608368,0.7142857142857143,3,0.8,14,0.0,1.0,0,3.057357086257566,1,1
+1-443-470-7200 or 855-291-4527,0.0563468337059021,0.2196681648492813,0.6774193548387096,6,0.4,31,0.0,1.0,0,0.2565077066895693,1,0
239-463-7009,0.17542880773544312,0.2577737420797348,0.8333333333333334,2,0.6000000000000001,12,0.0,1.0,0,0.6805508030774386,1,0
(513) 484-5784,0.6396447904407978,0.26404981315135956,0.7142857142857143,3,0.8,14,0.0,1.0,0,2.422430678424534,1,1
+1-443-470-7200 or 855-291-4527,0.055917561054229736,0.27442629635334015,0.6774193548387096,6,0.4,31,0.0,1.0,0,0.20376092975180146,1,0
2394637009,0.17119580507278442,0.3125821202993393,1.0,0,0.6000000000000001,10,0.0,1.0,0,0.5476809013514294,1,0
+1-443-470-7200 or 855-291-4527,0.05693233013153076,0.329398438334465,0.6774193548387096,6,0.4,31,0.0,1.0,0,0.17283675533691384,1,0
1-910-269-8559,0.18030333518981934,0.36726193130016327,0.7857142857142857,3,0.30000000000000004,14,0.0,1.0,0,0.49093801694475336,1,0
(757) 705-2672,0.6397086381912231,0.37386558949947357,0.7142857142857143,3,0.8,14,0.0,1.0,0,1.7110612613115672,1,1
+1-443-470-7200 or 855-291-4527,0.05613189935684204,0.3843221515417099,0.6774193548387096,6,0.4,31,0.0,1.0,0,0.14605391096443002,1,0
9102698559,0.17100149393081665,0.42206184566020966,1.0,0,0.5,10,0.0,1.0,0,0.405156472997116,1,0
(757) 705-1505,0.6396838985383511,0.428726002573967,0.7142857142857143,3,0.7,14,0.0,1.0,0,1.4920541386426631,1,1
+1-443-470-7200 or 855-291-4527,0.056450724601745605,0.4393012374639511,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,0.12850088114194483,1,0
818-996-5188,0.17541617155075073,0.4715137928724289,0.8333333333333334,2,0.5,12,0.0,1.0,0,0.3720268678785877,1,0
(818) 262-1318,0.639657948166132,0.4835923761129379,0.7142857142857143,3,0.7,14,0.0,1.0,0,1.3227185891329225,1,1
818-917-1091,0.17491662502288818,0.48281918466091156,0.8333333333333334,2,0.5,12,0.0,1.0,0,0.3622810946599789,1,0
+1-443-470-7200 or 855-291-4527,0.05631309747695923,0.49395327270030975,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,0.11400467733401978,1,0
(818) 943-2713,0.6395799219608307,0.5325612276792526,0.7142857142857143,3,0.7,14,0.0,1.0,0,1.2009487130695116,1,1
(818)943-2712,0.17691254615783691,0.5263965576887131,0.7692307692307693,3,0.5,13,0.0,1.0,0,0.33608162419031345,1,0
+1-443-470-7200 or 855-291-4527,0.05692398548126221,0.5374997109174728,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,0.10590494919364346,1,0
818-681-8151,0.1751697063446045,0.5811986178159714,0.8333333333333334,2,0.5,12,0.0,1.0,0,0.30139336120497845,1,0
(818) 633-4000,0.639728594571352,0.5872804969549179,0.7142857142857143,3,0.7,14,0.0,1.0,0,1.0893048697913603,1,1
+1-443-470-7200 or 855-291-4527,0.05600428581237793,0.6036363691091537,0.6774193548387096,6,0.30000000000000004,31,0.0,1.0,0,0.09277802978803133,1,0
800-543-8917 303-449-3711,0.2764739692211151,0.788899227976799,0.8,4,0.2,25,0.0,0.0,0,0.35045492372356873,1,0
703470-7547,0.4663425497710705,-0.28615280985832214,0.9090909090909091,1,0.30000000000000004,11,0.0,0.0,0,-1.6297033032989143,1,0
(703) 220-7430,5.8338046073913574e-05,-0.27439387142658234,0.7142857142857143,3,0.8,14,0.9941831789883314,0.0,1,-0.00021260773201071563,1,1
703-470-7547,0.4644998721778393,-0.27496716380119324,0.8333333333333334,2,0.30000000000000004,12,0.0,0.0,0,-1.6892982967667365,1,0
+1-443-470-7200 or 855-291-4527,0.5832541398704052,-0.2638867199420929,0.6774193548387096,6,0.0,31,0.0,0.0,0,-2.210252756376489,1,0
703-470-7547,0.4642653875052929,-0.22588253021240234,0.8333333333333334,2,0.30000000000000004,12,0.0,0.0,0,-2.0553490454431222,1,0
(703) 501-3961,2.7902424335479736e-06,-0.21957135200500488,0.7142857142857143,3,0.8,14,0.9997210146802891,0.0,1,-1.270773767072329e-05,1,1
+1-443-470-7200 or 855-291-4527,0.5828905515372753,-0.2089492380619049,0.6774193548387096,6,0.0,31,0.0,0.0,0,-2.789640903143595,1,0
3013250480,0.468526940792799,-0.17097532749176025,1.0,0,0.30000000000000004,10,0.0,0.0,0,-2.7403350413258893,1,0
(301) 520-5930,1.6011297702789307e-05,-0.16467106342315674,0.7142857142857143,3,0.8,14,0.9984001513541516,0.0,1,-9.723259571258364e-05,1,1
+1-443-470-7200 or 855-291-4527,0.5836687497794628,-0.15419167280197144,0.6774193548387096,6,0.0,31,0.0,0.0,0,-3.785370017349066,1,0
3013250480,0.4685202054679394,-0.11609351634979248,1.0,0,0.30000000000000004,10,0.0,0.0,0,-4.03574855812639,1,0
(703) 342-7977,5.645677447319031e-05,-0.10981321334838867,0.7142857142857143,3,0.8,14,0.9943702294404697,0.0,1,-0.0005141210868237064,1,1
+1-443-470-7200 or 855-291-4527,0.5832617692649364,-0.09936562180519104,0.6774193548387096,6,0.0,31,0.0,0.0,0,-5.869913845276322,1,0
